component_category,component_name,component_description,component_cost,Colorful,Fits Rider's Personality,Minimum Complexity For User,Easy To Maintain,Safety,Low Price Point,Sleek,Stylish,Easy To Ride,Comfortable,Soft Ride,"Repair, Parts, Support Nearby",Ability To Handle Rough Terrain,Ability To Stop Quickly,On-Road And Off-Road Capabilities,Able To Carry Things,Durable,Reliability (No Defective Parts),Feel Young At Heart,Ability To Turn Sharply,Environmentally Friendly,Protect The Rider From Water & Dirt,Light Weight,High Visibility,Easily Handles Change In Incline,Speed,Shifts Smoothly,Provides Competitive Advantage,Aerodynamic,"Specialized Repair, Parts, Support",Rider Expertise Required,Status Symbol/Exclusivity,Navigation Assistance,Practical,Soften The Impact Of Rough Terrain,"Precise Speed Control-Turns, Hills"
Brakes,Standard Disc,Strong all-weather stopping,180,100,100,100,100,130,85,105,100,100,100,100,100,100,135,120,100,100,100,105,108,100,100,100,100,100,100,100,100,100,110,100,100,100,100,100,100
Handlebars,Basic Straight,Simple predictable handling,35,100,100,100,100,100,100,100,100,110,100,100,100,100,100,110,100,100,100,100,115,100,100,100,100,100,100,100,100,100,100,100,100,110,110,100,100
Handlebars,Comfort Straight,Upright relaxed riding position,45,100,100,100,100,100,100,90,100,120,130,100,100,100,100,105,100,100,100,90,105,100,100,100,100,100,100,100,100,85,100,100,100,115,100,100,100
Handlebars,Basic Drop Down,Aerodynamic road riding posture,70,100,100,100,100,100,100,125,100,100,85,100,100,100,100,85,100,100,100,125,95,100,100,100,100,100,120,100,100,130,100,120,100,90,100,100,100
Pedals,Basic Flat,Simple everyday pedal,25,100,100,100,100,100,125,90,100,120,100,100,100,100,100,105,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Pedals,Extra Grip Flat,Secure footing in wet conditions,40,100,100,100,100,115,100,95,100,110,100,100,100,100,100,110,100,100,100,105,105,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Pedals,Basic Clip,Foot retention for performance,70,100,100,100,100,100,100,105,100,100,100,100,100,100,100,95,100,100,100,115,102,100,100,100,100,100,110,100,100,100,100,120,100,100,100,100,100
Pedals,Basic Clipless,Maximum pedaling efficiency,120,100,100,100,100,100,100,115,100,100,100,100,100,100,100,90,100,100,100,125,102,100,100,100,100,100,120,100,125,100,100,135,100,100,100,100,100
Gears,7 Speed,Simple gearing for daily rides,80,100,100,125,120,100,100,95,100,100,100,100,100,100,100,90,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Gears,14 Speed,Balanced range and simplicity,180,100,100,100,100,100,100,105,100,100,100,100,100,100,100,105,100,100,100,110,100,100,100,100,100,120,100,115,100,100,100,100,100,100,100,100,100
Gears,24 Speed,Wide gear range for hills,350,100,100,100,100,100,100,110,100,100,100,100,100,100,100,120,100,100,100,120,100,100,100,100,100,135,100,125,100,100,100,110,100,100,100,100,100
Seat,Urethane Foam All-Purpose,Balanced saddle for all uses,40,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,115,100,100
Seat,Polymer Gel All-Purpose,Pressure-relieving saddle,70,100,100,100,100,100,100,95,100,100,120,100,100,100,100,105,100,100,100,95,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Seat,Urethane Foam Comfort,Comfort-oriented foam saddle,60,100,100,100,100,100,100,90,100,100,125,120,100,100,100,110,100,100,100,92,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Seat,Polymer Gel Comfort,Maximum cushioning and support,90,100,100,100,100,100,100,90,100,100,140,130,100,100,100,110,100,100,100,92,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Seat,Polymer Gel Racing,Performance-focused saddle,130,100,100,100,100,100,100,115,100,100,80,100,100,100,100,90,100,100,100,115,100,100,100,100,100,100,110,100,115,100,100,100,100,100,100,100,100
Accessories,Bell,Audible safety warning,15,100,100,100,100,115,100,85,100,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,105,100,100,100,100,100,100,100,100,105,100,100,100
Accessories,Reflectors,Improves visibility to others,20,100,100,100,100,120,100,85,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,140,100,100,100,100,100,100,100,100,108,100,100,100
Accessories,Repair Kit,Fix common roadside issues,35,100,100,100,100,100,100,80,100,100,100,100,125,100,100,105,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,130,100,100
Accessories,Bottle Cage,Keeps water within reach,20,100,100,100,100,100,100,95,100,100,105,100,100,100,100,100,100,100,100,105,100,100,100,100,100,100,100,100,100,100,100,100,100,100,120,100,100
Decals,Colorful thin brushstrokes,Express personal style,25,140,135,100,100,100,105,125,140,100,100,100,100,100,100,100,100,100,100,120,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Decals,Colorful youth-oriented,Express personal style,25,140,135,100,100,100,105,115,120,100,100,100,100,100,100,100,100,100,100,140,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Accessories,Light,Improves visibility at night,40,100,100,100,100,125,100,105,100,100,100,100,100,100,100,100,100,100,100,105,100,100,100,100,145,100,100,100,100,100,100,100,100,115,100,100,100
Carriers,Attractive Plastic Basket,Convenient basket storage,50,100,100,100,100,100,100,75,100,100,100,100,100,100,100,92,125,100,100,90,88,100,100,100,100,100,100,100,100,100,100,100,100,108,120,100,100
Carriers,Small Metal Basket,Convenient basket storage,50,100,100,100,100,100,100,75,100,100,100,100,100,100,100,92,125,100,100,90,88,100,100,100,100,100,100,100,100,100,100,100,100,108,120,100,100
Carriers,Large Metal Basket,High-capacity cargo solution,80,100,100,100,100,100,100,65,100,100,100,100,100,100,100,85,145,100,100,85,80,100,100,85,100,100,100,100,100,100,100,100,100,110,130,100,100
Carriers,Simple Flat Rack,Versatile cargo platform,60,100,100,100,100,100,100,80,100,100,100,100,100,100,100,95,130,100,100,90,90,100,100,100,100,100,100,100,100,100,100,100,100,105,135,100,100
Carriers,Twin Carrier Baskets,High-capacity cargo solution,120,100,100,100,100,100,100,65,100,100,100,100,100,100,100,85,145,100,100,85,80,100,100,85,100,100,100,100,100,100,100,100,100,110,130,100,100
Suspension/shock absorbers,Front,Front-end shock absorption,220,100,100,100,100,100,100,90,100,100,115,100,100,125,100,125,100,100,100,105,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,125,100
Suspension/shock absorbers,Full Suspension,Maximum comfort on rough terrain,500,100,100,100,100,100,100,75,100,100,100,140,100,145,100,140,100,100,100,105,90,100,100,70,100,100,85,100,100,100,100,100,100,100,100,145,100
Fenders,Plastic,Lightweight splash protection,35,100,100,100,100,100,100,95,100,100,100,100,100,100,100,105,100,100,100,95,100,100,130,115,100,100,100,100,100,100,100,100,100,100,100,100,100
Fenders,Metal,Durable weather protection,55,100,100,100,100,100,100,90,100,100,100,100,100,100,100,105,100,125,100,90,98,100,140,85,100,100,100,100,100,100,100,100,100,100,100,100,100
